Epoch,Loss
1,0.531881701485316
2,0.33967576395670573
3,0.30754599776268005
4,0.28804895277818043
5,0.2759006186326345
6,0.26878303310076396
7,0.26223666280110675
8,0.25718374894460044
9,0.24906078155438105
10,0.2479854915857315
11,0.24363992315133412
12,0.24090350075165431
13,0.23666629269123077
14,0.23415144186019898
15,0.2313234480778376
16,0.22931217740376791
17,0.22833315161863962
18,0.2260835372765859
19,0.22419986639022826
20,0.2228977483948072
21,0.22212409930229188
22,0.22053210680484772
23,0.21615182347695033
24,0.21681720621188483
25,0.2158915319800377
26,0.21453278905550638
27,0.21311971715688705
28,0.21389311019182206
29,0.21293337668975193
30,0.21028461741606394
31,0.2101478741447131
32,0.20897254662116369
33,0.20828346162637074
34,0.2064784648736318
35,0.20551649107933045
36,0.20654492363532384
37,0.20533460442622503
38,0.20348563119570415
39,0.20203072164058686
40,0.20290181938012442
41,0.20023158680200576
42,0.20341679998636245
43,0.19947167803049087
44,0.2005458501458168
45,0.2019138460914294
46,0.1995683921098709
47,0.1997449286222458
48,0.19835722369750342
49,0.1968748279452324
50,0.19754171373844145
51,0.1982264001051585
52,0.19624916614294052
53,0.19677277489900588
54,0.19645799845457076
55,0.19581589181025824
56,0.19413971719344458
57,0.19332232409119607
58,0.1939318159242471
59,0.19330232787529628
60,0.19402945736249289
