Epoch,Loss
1,0.5408973483622074
2,0.2571499705195427
3,0.22465470942854882
4,0.2106602532327175
5,0.19864791483432054
6,0.19742317211031915
7,0.18896529753357172
8,0.18060242586880923
9,0.17614807420298456
10,0.17071643273308873
11,0.1686056120827794
12,0.16379703948274255
13,0.16222145018428563
14,0.1602952895641327
15,0.15821780837327243
16,0.15561518037542701
17,0.15652061900645495
18,0.15480273556560278
19,0.15356252779588103
20,0.15180154471099377
21,0.15100492649152875
22,0.15051818476468326
23,0.15131548943445086
24,0.14808697135709226
25,0.14942869282513857
26,0.14564976379051806
27,0.1470151704788208
28,0.145671211874485
29,0.14309013641923665
30,0.14358891148343683
31,0.14306643914431333
32,0.14271381345503031
33,0.14112453867718577
34,0.14134037830084561
35,0.1405673512123525
36,0.13866809361726046
37,0.1396343664392829
38,0.13700404144898057
39,0.13804800238870085
40,0.13820127124935389
41,0.136573025643453
42,0.13712518024593592
43,0.13555731543339788
44,0.13556981938034296
45,0.1332996127348393
46,0.13496635743156077
47,0.1327956109724939
48,0.1352357361935079
49,0.134435935363546
50,0.13368640595823528
51,0.1315380927182734
52,0.13387110363058746
53,0.1330908938281238
54,0.1320388140488416
55,0.13123195204772056
56,0.13120985431037843
57,0.1320249710470438
58,0.1325605198070407
59,0.13159018610902132
60,0.1315796895362437
