Epoch,Loss
1,1.5975184589624405
2,1.440924122929573
3,1.2236963858207066
4,0.978206180036068
5,0.8280961265166601
6,0.6670417686303457
7,0.5146997931102911
8,0.40792120682696503
9,0.3895634841173887
10,0.32825587565700215
11,0.2190986288090547
12,0.2065211171284318
13,0.19776599202305079
14,0.1829323732915024
15,0.18434855869660774
16,0.16603972669690847
17,0.13281222247557403
18,0.1135275970833997
19,0.1247514095933487
20,0.1518519597205644
21,0.14717528590699658
22,0.09224004585606356
23,0.0873901202576235
24,0.0897325911403944
25,0.0777101838029921
26,0.07940336045188208
27,0.07745825972718497
28,0.07573555464235444
29,0.07606473960913718
30,0.07666435538946341
