Epoch,Loss
1,0.7325572840640033
2,0.35375730456404925
3,0.29201306402054783
4,0.26624719965111
5,0.25379560752377034
6,0.23238662836773896
7,0.22561171072688802
8,0.2156749692353102
9,0.20860900841449093
10,0.2066002908775144
11,0.19556676747158755
12,0.19542014258212553
13,0.19123002524298738
14,0.18710405290604443
15,0.18029535287784554
16,0.18225297319868958
17,0.18036544039524943
18,0.16950240040544415
19,0.17158396023894
20,0.16752956774304156
21,0.18027436561671956
22,0.1829860031365946
23,0.17487104870583225
24,0.17254407765467122
25,0.17128004394204543
26,0.17496569733713208
27,0.1778103730086283
28,0.17042671519837163
29,0.17102555894477112
30,0.1712931124615247
31,0.16529466061275852
32,0.16642368402966828
33,0.1623210617490757
34,0.16612725804836023
35,0.16544720628552173
36,0.16374782411258265
37,0.16370455635996722
38,0.16126429260669506
39,0.16488164408782122
40,0.16560523711280045
